,Gen,Pair,Release,HcondE,HcondN,MI_EN,MI_NE,TE_EN,TE_NE,TE_star_EN,TE_star_NE,TE_star2_EN,TE_star2_NE,HcondEN,HcondNE,HcondEN2,HcondNE2
284,5.0,32.0,4.0,0.861076365452984,0.8825166025841038,3.414008987756567e-05,0.00036522277543893367,0.0002742143245826334,0.0008099844007367629,0.00025211739858521653,0.0011441697421670227,0.0013664427496573595,0.003144742792528632,0.854165423671222,0.8811151977009111,0.7940179105442526,0.8319097329712108
285,5.0,32.0,5.0,0.9212723089076387,0.9234358437806611,0.05770784003086038,0.08448462732610151,0.02551746515427511,0.04532817896530261,0.016571141969615066,0.034999787367902435,0.011683970372743158,0.031076387153214036,0.8960515612832514,0.9008753093655362,0.876311125217283,0.869126461965176
286,5.0,32.0,6.0,0.9081610223572185,0.9124483272709765,0.06024383661046406,0.046505986613870176,0.03222775723286331,0.021566802188603074,0.02030682899513403,0.012561758285154045,0.014924551797623753,0.009124976139322616,0.8879442969631333,0.8847012948731647,0.8626100081001415,0.8385124867945803
287,5.0,32.0,7.0,0.8750770802331351,0.8686435405182377,0.059064995087932504,0.09829595387016865,0.019255868065263693,0.04854104878943377,0.011622712227127519,0.029688122641938985,0.009794740619885278,0.026308345044234294,0.8400697781642634,0.8553609537302478,0.8205071877857866,0.8136638588506795
288,5.0,32.0,8.0,0.870761839533083,0.862088819115945,0.09074594932290458,0.13182223979498442,0.03056335749334904,0.061877946673355444,0.020526014123344094,0.04191575931921854,0.013027016140598757,0.03816939024365684,0.835900176242113,0.8443060530577409,0.8191998818990012,0.8114886693211623
289,5.0,32.0,9.0,0.8638234367820194,0.83513388583443,0.052470551001319254,0.05450452448063059,0.019529767813200927,0.023492691904326346,0.01718665024484789,0.0146290157317841,0.014216091386737517,0.012250694291009001,0.8508230027817669,0.832297015122843,0.8290741992556283,0.8032809776664687
290,5.0,32.0,10.0,0.9385952967134429,0.8928102788160621,0.05283377300366299,0.06608339313045875,0.017849529722501645,0.037373383841119656,0.01399718611215306,0.0188585165287809,0.010652376908934169,0.018582598316957633,0.8904047771744859,0.8810132264879424,0.8700842603579062,0.8392069894202403
291,5.0,32.0,11.0,0.9150213160526479,0.9052865623736759,0.08216276276032253,0.1059831256984407,0.039479573298322634,0.06052057368178421,0.032235111989187715,0.04440390243770853,0.020885492175776843,0.034751489282539794,0.8810490226785499,0.887856788022134,0.8525596872988199,0.841897929832871
292,5.0,32.0,12.0,0.9587272376529254,0.9784727456096043,0.021029331211982694,0.0378606043898948,0.013534393461479555,0.02330980617936218,0.009687086030480074,0.018282078690567527,0.005512972005675465,0.01759821153916752,0.9289452829211369,0.9664666422488304,0.8956549884558749,0.9314504429761814
293,5.0,33.0,3.0,0.8877029007741646,0.9537754326735122,0.053404191264335044,0.02832408195257119,0.03606411682694555,0.009936458274568905,0.018731610057833414,0.0075264726601975696,0.01564453632314633,0.003891997352139409,0.8818969906309697,0.9202768697099046,0.8470263401960119,0.8841513873033482
294,5.0,33.0,5.0,0.8871030615994177,0.9041349303963155,0.027607650623011182,0.025370625719034257,0.01427495307988913,0.012194311340807396,0.010261884401507881,0.010810092280975958,0.007805631664198565,0.007663108091469084,0.8790260201001758,0.8941615618380889,0.8336327277410236,0.8335980333095443
295,5.0,33.0,6.0,0.8450542980068354,0.9423008956889682,0.02395661616147704,0.015037888312264602,0.01481542709429906,0.005117323672152452,0.005933831069670603,0.0049910543262687845,0.0054770516510536105,0.003416452921006119,0.843712176834178,0.9250879783062289,0.8041756385831973,0.8877599054049843
296,5.0,33.0,7.0,0.7937559959742106,0.8794066684729694,0.015316989580915319,0.01087759581024006,0.007249222725042248,0.0029021440538228305,0.003784717305264529,0.0028380788901269938,0.003955203682828312,0.0044338660622429416,0.7908464560133313,0.874101925128931,0.7463974192599774,0.8166624698732008
297,5.0,34.0,5.0,0.9081027154179628,0.9006746337270612,0.06811708546898942,0.07740896859171476,0.03121237696167589,0.04009084594754708,0.01939178596032365,0.027529724989546978,0.0120379618662807,0.020054486605579402,0.8826125604306743,0.8734951155136019,0.8353683518026318,0.8281380948545256
298,5.0,34.0,6.0,0.9410612537935422,0.9124153653738842,0.04837965543107847,0.04837097386049094,0.024695784820341737,0.02943797034737372,0.019099441561343244,0.02100847123471361,0.014096468646436211,0.016211084928702935,0.9262163614071515,0.8925923808029577,0.8933546659589124,0.8431334484911313
299,5.0,34.0,7.0,0.9298289916483482,0.8836505004981865,0.05942293257964981,0.08086351850746065,0.024694704076975382,0.04855904812629652,0.015126542343044669,0.027725219068505336,0.010186742002857407,0.024116860932605455,0.8874955323125147,0.8549853142935477,0.8656180583651931,0.8203903107333659
300,5.0,34.0,9.0,0.8076870494015487,0.8056645595687734,0.1529762853702854,0.1290302193825954,0.05351147879439466,0.0377046573935802,0.03519013172698271,0.027845808407259476,0.030552475306486304,0.024982857464606933,0.7963406922430378,0.776702788684883,0.7863203377579309,0.7624864705398728
301,5.0,34.0,11.0,0.9089384388587383,0.8928372784811565,0.10532110193764033,0.09848964969217122,0.05582332713425764,0.05379734289731131,0.041264339284784235,0.03673040125273097,0.028862766477680157,0.026160430491898534,0.8762135143725183,0.8634057898799692,0.8438612742581748,0.8184334298339029
302,5.0,34.0,12.0,0.9097764844683451,0.8896525450246496,0.09325294644718163,0.08175141715657674,0.04031899629429758,0.03656998279802348,0.02790064681629678,0.02537164448908591,0.023654058771373165,0.018650868559580758,0.8792403888367175,0.8598899364256645,0.8577387789977915,0.8310664644183743
303,5.0,35.0,3.0,0.9758760144867678,0.8936825265616535,0.01895188015116278,0.019744746701511717,0.007669911081816139,0.01364101160793263,0.007037309556261029,0.008086312294545372,0.005774742756032403,0.006494992961938895,0.964443602350312,0.885901068002489,0.9336853481031215,0.8411903852235003
